Company Name,State,Data Year,"Utility Specific Residual Mix Emissions Rate
 (lbs CO2/MWh)","Utility Average Emissions Rate 
(lbs CO2/MWh)",Protocol,Emissions Certified- EPA Part 75  (Y/N),"Emission Totals: 
Third-Party Verified (Select from Drop Down)"
Exelon PEPCO,MD,2022,735,811,WRI/WBCSD,Yes,
Exelon PEPCO,MD,2023,810,866,WRI/WBCSD,Yes,"Yes, Limited Assurance"
First Energy Corp Jersey Central Power and Light,NJ,2022,811,811,WRI/WBCSD,,
First Energy Corp Jersey Central Power and Light,NJ,2023,733,733,WRI/WBCSD,,No
First Energy Corp Met-Ed,PA,2022,811,811,WRI/WBCSD,No,No
First Energy Corp Met-Ed,PA,2023,733,733,WRI/WBCSD,,No
First Energy Corp Mon Power,WV,2022,811,811,WRI/WBCSD,No,No
First Energy Corp Mon Power,WV,2023,733,733,WRI/WBCSD,,No
First Energy Corp Ohio Edison,OH,2022,811,811,WRI/WBCSD,No,No
First Energy Corp Ohio Edison,OH,2023,733,733,WRI/WBCSD,,No
First Energy Corp Penelec,PA,2022,811,811,WRI/WBCSD,No,No
First Energy Corp Penelec,PA,2023,733,733,WRI/WBCSD,,No
First Energy Corp Penn Power,PA,2022,811,811,WRI/WBCSD,No,No
First Energy Corp Penn Power,PA,2023,733,733,WRI/WBCSD,,No
First Energy Corp Potomac Edison,PA,2022,811,811,WRI/WBCSD,No,No
First Energy Corp Potomac Edison,PA,2023,733,733,WRI/WBCSD,,No
First Energy Corp The Illuminating Company,OH,2022,811,811,WRI/WBCSD,No,No
First Energy Corp The Illuminating Company,OH,2023,733,733,WRI/WBCSD,,No
First Energy Corp Toledo Edison,OH,2022,811,811,WRI/WBCSD,No,No
First Energy Corp Toledo Edison,OH,2023,733,733,WRI/WBCSD,,No
First Energy Corp West Penn Power,PA,2022,811,811,WRI/WBCSD,No,No
First Energy Corp West Penn Power,PA,2023,733,733,WRI/WBCSD,,No
"Hawaiian Electric Industries, Hawaiian Electric Company",HI,2022,N/A,1292,Other,,No
"Hawaiian Electric Industries, Hawaiian Electric Company",HI,2023,N/A,1235,Other,,No
MGE Energy Madison Gas and Electric Company,WI,2023,1320,1260,The Climate Registry,,No
Next Era Energy Florida Power and Light,FL,2022,662,,WRI/WBCSD,Yes,
Next Era Energy Florida Power and Light,FL,2023,669,,WRI/WBCSD,Yes,"Yes, Limited Assurance"
NiSource NIPSCO,IN,2022,1397,1188,WRI/WBCSD,Yes,
NiSource NIPSCO,IN,2023,1339,1065,WRI/WBCSD,Yes,"Yes, Limited Assurance"
NorthWestern Energy Group,MT,2023,1013,1013,Other,No,No
NorthWestern Energy Group,SD,2023,1013,1013,Other,No,No
NorthWestern Energy Group,WY,2023,1013,1013,Other,No,No
Otter Tail Corporation Otter Tail Power Company,MN/SD/ND,2022,1194,1194,,Yes,No
Otter Tail Corporation Otter Tail Power Company,MN/SD/ND,2023,1177,1176,,Yes,No
Pinnacle West Capital Corporation Arizona Public Service Company,AZ,2022,,981,WRI/WBCSD,,
Pinnacle West Capital Corporation Arizona Public Service Company,AZ,2023,N/A,872,WRI/WBCSD,Yes,No
"PNM Resources, PNM",NM,2022,1061,856,Other,Yes,No
"PNM Resources, PNM",NM,2023,705,536,Other,Yes,No
Portland General Electric,OR,2022,,649,Other,No,No
Portland General Electric,OR,2023,,709,Other,No,No
"PPL Corporation, LG&E and KU Energy",KY,2022,,1860,Other,Yes,
"PPL Corporation, LG&E and KU Energy",KY,2023,1904,1881,Other,Yes,No
"PPL Corporation, PPL Electric Utilities",PA,2022,,843,Other,,
"PPL Corporation, PPL Electric Utilities",PA,2023,811,811,Other,,No
"PPL Corporation, Rhode Island Energy",RI,2022,,658,Other,,
"PPL Corporation, Rhode Island Energy",RI,2023,644,644,Other,,No
PSEG Long Island,NY,2022,903,903,,No,No
PSEG Long Island,NY,2023,882,882,,No,No
Puget Sound Energy,WA,2023,867,868,WRI/WBCSD,Yes,"Yes, Reasonable Assurance"
"Southern Company, Alabama Power",AL,2022,1216,,WRI/WBCSD,Yes,"Yes, Limited Assurance"
"Southern Company, Alabama Power",AL,2023,1065,,WRI/WBCSD,Yes,"Yes, Limited Assurance"
"Southern Company, Georgia Power",GA,2022,804,,WRI/WBCSD,Yes,"Yes, Limited Assurance"
"Southern Company, Georgia Power",GA,2023,812,,WRI/WBCSD,Yes,"Yes, Limited Assurance"
"Southern Company, Mississippi Power",MS,2022,1008,,WRI/WBCSD,Yes,"Yes, Limited Assurance"
"Southern Company, Mississippi Power",MS,2023,1043,,WRI/WBCSD,Yes,"Yes, Limited Assurance"
Tampa Electric Company,FL,2022,907,881,WRI/WBCSD,Yes,No
Tampa Electric Company,FL,2023,878,814,WRI/WBCSD,Yes,No
Tennessee Valley Authority,TN,2022,658,658,WRI/WBCSD,Yes,No
Tennessee Valley Authority,TN,2023,625,625,WRI/WBCSD,Yes,No
Xcel Energy Northern States Power Company,MI/MN/SD/ND/WI,2022,581,572,The Climate Registry,No,No
Xcel Energy Northern States Power Company,MI/MN/SD/ND/WI,2023,553,543,The Climate Registry,No,No
Xcel Energy Public Service Company of Colorado,CO,2022,985,973,The Climate Registry,No,No
Xcel Energy Public Service Company of Colorado,CO,2023,939,929,The Climate Registry,No,No
Xcel Energy Southwestern Public Service Company,NM/TX,2022,976,976,The Climate Registry,No,No
Xcel Energy Southwestern Public Service Company,NM/TX,2023,958,958,The Climate Registry,No,No
"Source: EEI, Electric Company CO2 and Resource Mix Database for Corporate Customers ",,,,,,,
Contact: CO2Database@EEI.ORG,,,,,,,
1/31/2025 14:27,,,,,,,
